rep,Ne,n0,n1,L,pi0,pi1,relative_change,num_sites
0,100,100,100,1000000,0.005414529696969377,0.005400781616161713,-0.25391089489007057,22412
0,100,200,200,1,0.0,0.0,,0
0,100,200,200,2,0.0,0.0,,0
0,100,200,200,5,0.0,0.0,,0
0,100,200,200,10,0.022733668341708542,0.026326633165829144,15.804597701149424,1
0,100,200,200,20,0.0,0.0,,0
0,100,200,200,50,0.003267336683417085,0.002897487437185929,-11.319593971085824,2
0,100,200,200,100,0.0001,0.00019899497487437187,98.99497487437186,1
0,100,200,200,200,0.007696231155778895,0.0074296482412060305,-3.46381117168882,4
0,100,200,200,500,0.0031687437185929637,0.0030450251256281405,-3.9043420343175836,9
0,100,200,200,1000,0.005011758793969847,0.005219899497487435,4.1530471053000975,33
0,100,200,200,2000,0.0044793467336683435,0.00485155778894472,8.309494160804906,76
0,100,200,200,5000,0.0027061909547738687,0.002423467336683415,-10.447290040331923,118
0,100,200,200,10000,0.002442391959798994,0.002331778894472363,-4.528882634208084,224
0,100,200,200,20000,0.002082035175879393,0.002080233668341705,-0.08652627768055099,383
0,100,200,200,50000,0.00300036884422111,0.003085187939698486,2.8269556138320446,1117
0,100,200,200,100000,0.002708403015075362,0.0025268974874371824,-6.701570136641169,2092
0,100,200,200,200000,0.001337731658291451,0.0013370243718592845,-0.05287207100039207,3169
0,100,200,200,500000,0.004289845929648071,0.004902961005025106,14.292239987913364,13405
0,100,200,200,1000000,0.0038375734170859586,0.003977107487438056,3.635997417817524,26841
0,100,500,500,1,0.0,0.0,,0
0,100,500,500,2,0.0,0.0,,0
0,100,500,500,5,0.0,0.0,,0
0,100,500,500,10,0.045944689378757515,0.04776272545090181,3.9570102589154947,1
0,100,500,500,20,0.00039919839679358716,0.0,-100.0,1
0,100,500,500,50,0.0,0.0,,0
0,100,500,500,100,0.003673667334669339,0.003506052104208417,-4.562613192520022,4
0,100,500,500,200,0.002786372745490982,0.0021187975951903804,-23.958573072497135,5
0,100,500,500,500,0.002245434869739479,0.0022928256513026052,2.1105391299380996,13
0,100,500,500,1000,0.0027062364729458924,0.0026844328657314627,-0.8056800443124336,19
0,100,500,500,2000,0.005062665330661322,0.0046219879759519045,-8.704453601554839,80
0,100,500,500,5000,0.002823910220440881,0.002760639679358716,-2.2405294836989165,137
0,100,500,500,10000,0.0025691575150300606,0.002601687374749498,1.2661683656658491,269
0,100,500,500,20000,0.003917766733466935,0.003895428857715429,-0.5701686004092176,599
0,100,500,500,50000,0.007766520400801543,0.007650256352705334,-1.496990184744894,2027
0,100,500,500,100000,0.0018441026853707222,0.0018589652905811433,0.8059532328826496,2248
0,100,500,500,200000,0.004249815791583106,0.004316067134268475,1.5589226906394738,5432
0,100,500,500,500000,0.008605234452905269,0.007709909466935408,-10.404422922696595,20116
0,100,500,500,1000000,0.003819999366733938,0.0037163773226453704,-2.7126194048865386,28557
0,100,1000,1000,1,0.0,0.0,,0
0,100,1000,1000,2,0.0,0.0,,0
0,100,1000,1000,5,0.0,0.0,,0
0,100,1000,1000,10,0.0,0.0,,0
0,100,1000,1000,20,0.0,0.0,,0
0,100,1000,1000,50,0.0001595195195195195,0.00019919919919919918,24.874497991967875,1
0,100,1000,1000,100,0.0026605205205205208,0.0017108708708708708,-35.69412986387546,6
0,100,1000,1000,200,0.005073573573573573,0.005095115115115115,0.4245832100227068,5
0,100,1000,1000,500,0.001784996996996997,0.001795251251251251,0.5744689919089713,12
0,100,1000,1000,1000,0.0024422602602602603,0.0024008748748748747,-1.6945526264664097,28
0,100,1000,1000,2000,0.0033070900900900885,0.0033282692692692684,0.6404173639733798,50
0,100,1000,1000,5000,0.005677618818818817,0.005849399799799809,3.0255814358585145,197
0,100,1000,1000,10000,0.002549852652652655,0.0024774340340340375,-2.8401099390303695,298
0,100,1000,1000,20000,0.008671892292292321,0.008734880780780748,0.7263522927332899,805
0,100,1000,1000,50000,0.004698717757757794,0.004814241721721718,2.4586274366701266,1596
0,100,1000,1000,100000,0.003512418578578537,0.003464118378378354,-1.3751265437085232,3438
0,100,1000,1000,200000,0.0024035609709709598,0.0024026761861861636,-0.0368114142092594,5697
0,100,1000,1000,500000,0.0034926728648649015,0.0034838640640640845,-0.2522080120766703,15320
0,100,1000,1000,1000000,0.0037888608948948408,0.0037806180900899875,-0.21755364035559466,33037
0,100,2000,2000,1,0.0,0.0,,0
0,100,2000,2000,2,0.0,0.0,,0
0,100,2000,2000,5,0.0,0.0,,0
0,100,2000,2000,10,0.0,0.0,,0
0,100,2000,2000,20,0.05446500750375187,0.05401015507753877,-0.8351278133612031,3
0,100,2000,2000,50,0.00017943971985992998,0.0001595797898949475,-11.067744633398382,2
0,100,2000,2000,100,0.00012933966983491745,6.978989494747373e-05,-46.04138464513633,2
0,100,2000,2000,200,0.004209552276138069,0.0042026863431715855,-0.1631036394393593,7
0,100,2000,2000,500,0.00014695547773886945,0.00011538769384692348,-21.48118898163151,10
0,100,2000,2000,1000,0.00244283791895948,0.0024056093046523263,-1.5239903563888926,36
0,100,2000,2000,2000,0.0023177291145572783,0.002317064532266133,-0.028673855239222577,61
0,100,2000,2000,5000,0.0072639978989494725,0.007262910755377689,-0.014966187861101507,210
